SPECIES,CT.POS,ORIENT,GAIT,DIST,RAIN,LOIT,TRIGGER,CAPTURE,AIR
FOX,AP,L,T,1,NO,0,1,0,4.83
FOX,FF,L,T,5,NO,0,0,NA,4.83
BADGER,FF,L,W,3,NA,0,0,NA,7.28
BADGER,AP,L,W,1,NA,1,0,NA,7.28
BADGER,SNIG,A,T,1,NA,1,0,NA,7.28
BADGER,FF,L,T,3,NA,0,0,NA,7.28
BADGER,SNIG,P,T,1,NO,0,1,1,5.55
BADGER,AP,L,T,1,NO,0,1,0,5.55
BADGER,SF,L,T,7,NO,0,0,NA,5.55
BADGER,FF,L,W,3,NO,1,1,0,5.55
BADGER,FF,L,W,3,NO,0,1,0,5.55
BADGER,AP,L,T,1,NO,0,1,0,5.55
BADGER,SF,L,T,7,NO,0,0,NA,5.55
BADGER,SNIG,A,T,1,NO,0,1,0,5.55
FOX,FF,L,W,4,NO,1,1,0,5.55
FOX,FF,L,T,3,NO,0,1,0,5.55
FOX,SF,L,T,5,NO,0,0,NA,5.55
FOX,AP,L,T,2,NO,0,0,NA,5.55
FOX,SNIG,A,T,1,NO,0,0,NA,5.55
BADGER,FF,L,W,3,YES,1,1,0,3.89
BADGER,AP,L,W,1,YES,1,1,1,3.89
BADGER,SNIG,A,W,1,YES,0,0,NA,3.89
BADGER,SF,L,W,7,YES,0,0,NA,3.89
BADGER,SNIG,P,R,1,NO,0,0,NA,3.89
BADGER,AP,L,R,1,NO,0,0,NA,3.89
BADGER,SF,L,R,7,NO,0,0,NA,3.89
BADGER,FF,L,R,4,NO,0,1,1,3.89
BADGER,FF,L,T,3,NO,0,0,NA,3.47
BADGER,SF,L,W,2,NO,0,1,1,3.47
BADGER,AP,L,W,6,NO,0,0,NA,3.47
FOX,SNIG,P,W,1,NO,0,1,1,3.47
FOX,AP,L,W,1,NO,0,1,0,3.47
FOX,SF,L,W,7,NO,0,0,NA,3.47
FOX,FF,L,W,3,NO,0,1,1,3.47
FOX,SNIG,P,W,1,NO,0,0,NA,3.47
FOX,AP,L,W,2,NO,0,0,NA,3.47
FOX,SF,L,W,7,NO,0,0,NA,3.47
FOX,FF,L,W,3,NO,0,1,0,3.47
FOX,FF,L,W,5,NO,0,1,0,3.47
FOX,AP,L,T,1,NO,0,0,NA,3.47
FOX,SNIG,A,T,1,NO,0,0,NA,3.47
FOX,SF,L,T,7,NO,0,0,NA,3.47
FOX,SF,L,W,9,NO,0,0,NA,3.47
FOX,FF,L,W,3,NO,0,0,NA,3.47
FOX,SNIG,L,W,1,NO,0,0,NA,6.37
FOX,AP,L,W,3,NO,0,0,NA,6.37
FOX,SF,A,W,1,NO,0,0,NA,6.37
FOX,AP,L,T,1,NO,0,0,NA,6.37
FOX,SNIG,A,T,1,NO,0,0,NA,6.37
FOX,SF,L,T,7,NO,0,1,1,6.37
BADGER,AP,L,T,1,NO,1,1,0,6.06
BADGER,SNIG,P,T,1,NO,1,1,1,6.06
BADGER,SF,L,T,7,NO,1,0,NA,6.06
BADGER,FF,L,W,3,NO,1,1,1,6.06
BADGER,FF,L,T,3,NO,0,1,1,6.06
BADGER,SF,L,T,7,NO,0,0,NA,6.06
BADGER,AP,L,T,1,NO,0,1,0,6.06
BADGER,SNIG,A,T,1,NO,0,1,0,6.06
FOX,SF,L,W,1,NO,1,1,1,6.78
FOX,AP,L,W,7,NO,1,0,NA,6.78
FOX,FF,L,W,1,NO,0,1,1,6.78
FOX,SF,L,W,1,NO,0,1,0,6.78
FOX,AP,L,W,7,NO,0,0,NA,6.78
FOX,FF,L,W,1,NO,1,1,0,6.78
FOX,SF,L,W,1,NO,0,1,1,6.78
FOX,AP,L,W,7,NO,0,0,NA,6.78
BADGER,SNIG,P,T,1,YES,0,1,1,6.78
BADGER,AP,L,T,1,YES,0,1,0,6.78
BADGER,SF,L,T,7,YES,0,0,NA,6.78
BADGER,FF,L,W,3,YES,0,1,1,6.78
FOX,SF,L,W,6,YES,0,1,1,6.47
FOX,AP,L,W,2,YES,0,0,NA,6.47
FOX,SNIG,P,W,3,YES,0,0,NA,6.47
FOX,FF,L,W,3,YES,0,1,0,6.47
FOX,FF,L,T,3,NO,0,1,0,6.47
FOX,AP,L,T,1,NO,0,1,0,6.47
FOX,SNIG,A,T,1,NO,0,1,0,6.47
FOX,SF,L,T,7,NO,0,0,NA,6.47
FOX,SNIG,A,W,1,NO,0,1,1,6.37
FOX,AP,L,W,1,NO,0,1,0,6.37
FOX,SF,L,W,7,NO,0,0,NA,6.37
FOX,FF,L,W,1,NO,0,1,1,6.37
FOX,SNIG,L,W,1,NO,0,0,NA,6.37
FOX,AP,A,W,1,NO,0,0,NA,6.37
FOX,SF,L,W,7,NO,0,0,NA,6.37
FOX,FF,L,W,6,NO,0,0,NA,6.37
FOX,FF,L,W,3,NO,0,1,0,6.37
FOX,AP,L,W,1,NO,0,1,0,6.37
FOX,SNIG,A,W,1,NO,0,1,0,6.37
FOX,SF,L,W,8,NO,0,0,NA,6.37
FOX,SF,L,W,9,NO,0,0,NA,6.37
FOX,SF,L,W,1,NO,0,1,0,6.37
FOX,AP,L,W,6,NO,0,0,NA,6.37
FOX,FF,L,W,4,NO,0,1,0,6.37
FOX,AP,L,W,1,NO,0,1,0,8.18
FOX,SNIG,P,W,1,NO,0,0,NA,8.18
FOX,SF,L,W,7,NO,0,0,NA,8.18
FOX,FF,L,W,3,NO,0,1,0,8.18
FOX,FF,L,W,5,NO,0,1,0,7.38
FOX,AP,L,W,1,NO,0,1,0,7.38
FOX,SNIG,A,W,1,NO,0,1,0,7.38
FOX,SF,L,W,7,NO,0,0,NA,7.38
FOX,SF,A,W,1,YES,1,1,1,7.38
FOX,SNIG,L,W,1,YES,0,1,1,7.38
FOX,AP,P,W,1,YES,0,1,1,7.38
FOX,FF,L,W,3,YES,0,1,0,7.18
FOX,AP,L,T,1,YES,0,0,NA,7.18
FOX,SNIG,A,T,1,YES,0,0,NA,7.18
FOX,SF,L,T,7,YES,0,1,0,7.18
FOX,FF,A,W,1,NO,0,1,0,7.08
FOX,AP,L,W,3,NO,0,0,NA,7.08
FOX,SF,L,W,4,NO,0,0,NA,7.08
FOX,FF,L,W,3,YES,0,1,1,6.67
FOX,AP,L,W,1,YES,0,1,0,6.67
FOX,SNIG,A,W,1,YES,0,1,0,6.67
FOX,SF,L,W,7,YES,0,0,NA,6.67
FOX,FF,A,W,1,NO,0,0,NA,7.18
BADGER,FF,L,W,2,NO,0,1,1,7.58
BADGER,SNIG,L,W,5,NO,0,0,NA,7.58
BADGER,SNIG,P,T,1,NO,0,1,1,7.58
BADGER,AP,L,T,1,NO,0,1,0,7.58
BADGER,SF,L,T,7,NO,0,1,1,7.58
BADGER,FF,L,T,3,NO,0,1,0,7.58
FOX,FF,L,T,4,NO,0,0,NA,6.67
FOX,SNIG,P,T,1,NO,0,1,1,6.67
FOX,AP,L,T,1,NO,0,0,NA,6.67
FOX,SF,L,T,7,NO,0,0,NA,6.67
FOX,FF,L,W,3,NO,0,1,0,6.67
